file,class,name,verdict,message,errors_in_stacktrace,errors_in_system_err,type,num,test_to_be_run,order
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,24,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,24,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,24,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,24,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,160,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,160,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,160,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,160,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,160,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,160,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,160,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,160,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,129,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,129,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,129,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,129,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,129,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,129,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,129,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,129,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,131,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,131,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,131,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,131,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,131,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,131,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,131,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,131,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,21,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,21,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,21,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,21,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,21,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,21,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,21,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,21,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,35,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,35,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,35,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,35,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,35,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,35,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,35,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,35,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,94,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,94,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,94,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,94,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,94,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,94,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,94,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,94,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,53,,same
,,tests.test_chromium_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chromium_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,53,,same
,,tests.test_downloader,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_downloader.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,53,,same
,,tests.test_edge_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_edge_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,53,,same
,,tests.test_firefox_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_firefox_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,53,,same
,,tests.test_ie_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_ie_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,53,,same
,,tests.test_opera_manager,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_opera_manager.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,53,,same
,,tests.test_silent_global_logs,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_silent_global_logs.py'."", ""E   ModuleNotFoundError: No module named 'requests'""]",,,53,,same
,,tests.test_chrome_driver,Error,collection failure,"[""ImportError while importing test module '/workdir/sameOrder/tmp/flapy_repo_copy/tests/test_chrome_driver.py'."", ""E   ModuleNotFoundError: No module named 'selenium'""]",,,140,,same
